time,action,price,quantity,net_pnl,charges
2026-04-01 11:00:00+05:30,OPEN SHORT,5136.5,1,,
2026-04-06 14:00:00+05:30,CLOSE SHORT,5107.0,1,24.01,5.49
2026-04-06 14:00:00+05:30,OPEN LONG,5107.0,1,,
2026-04-13 11:00:00+05:30,CLOSE LONG,5269.5,1,156.92,5.58
2026-04-13 11:00:00+05:30,OPEN SHORT,5269.5,1,,
2026-04-20 12:15:00+05:30,CLOSE SHORT,5298.0,1,-34.16,5.66
2026-04-20 12:15:00+05:30,OPEN LONG,5298.0,1,,
2026-04-22 12:45:00+05:30,CLOSE LONG,5221.5,1,-82.13,5.63
2026-04-22 12:45:00+05:30,OPEN SHORT,5221.5,1,,
2026-04-30 14:30:00+05:30,CLOSE SHORT,5088.5,1,127.46,5.54
2026-04-30 14:30:00+05:30,OPEN LONG,5088.5,1,,
2026-05-04 11:00:00+05:30,CLOSE LONG,5121.5,1,27.52,5.48
2026-05-04 11:00:00+05:30,OPEN SHORT,5121.5,1,,
2026-05-05 13:00:00+05:30,CLOSE SHORT,5097.0,1,19.02,5.48
2026-05-05 13:00:00+05:30,OPEN LONG,5097.0,1,,
2026-05-06 11:00:00+05:30,CLOSE LONG,4985.0,1,-117.39,5.39
2026-05-06 11:00:00+05:30,OPEN SHORT,4985.0,1,,
2026-05-06 15:00:00+05:30,CLOSE SHORT,5172.5,1,-192.92,5.42
2026-05-06 15:00:00+05:30,OPEN LONG,5172.5,1,,
2026-05-12 11:45:00+05:30,CLOSE LONG,5168.0,1,-10.04,5.54
2026-05-12 11:45:00+05:30,OPEN SHORT,5168.0,1,,
2026-05-14 13:30:00+05:30,CLOSE SHORT,5024.5,1,138.02,5.48
2026-05-14 13:30:00+05:30,OPEN LONG,5024.5,1,,
2026-05-15 11:00:00+05:30,CLOSE LONG,5075.0,1,45.08,5.42
2026-05-15 11:00:00+05:30,OPEN SHORT,5075.0,1,,
2026-05-19 12:00:00+05:30,CLOSE SHORT,5037.5,1,32.08,5.42
2026-05-19 12:00:00+05:30,OPEN LONG,5037.5,1,,
2026-05-21 11:00:00+05:30,CLOSE LONG,4969.0,1,-73.85,5.35
2026-05-21 11:00:00+05:30,OPEN SHORT,4969.0,1,,
2026-05-22 11:45:00+05:30,CLOSE SHORT,5008.5,1,-44.84,5.34
2026-05-22 11:45:00+05:30,OPEN LONG,5008.5,1,,
2026-05-25 12:45:00+05:30,CLOSE LONG,4975.0,1,-38.85,5.35
2026-05-25 12:45:00+05:30,OPEN SHORT,4975.0,1,,
2026-05-26 11:00:00+05:30,CLOSE SHORT,5012.5,1,-42.85,5.35
2026-05-26 11:00:00+05:30,OPEN LONG,5012.5,1,,
2026-05-29 11:00:00+05:30,CLOSE LONG,5057.0,1,39.1,5.4
2026-05-29 11:00:00+05:30,OPEN SHORT,5057.0,1,,
2026-06-02 11:15:00+05:30,CLOSE SHORT,4843.5,1,208.17,5.33
2026-06-02 11:15:00+05:30,OPEN LONG,4843.5,1,,
2026-06-03 11:00:00+05:30,CLOSE LONG,4825.0,1,-23.68,5.18
2026-06-03 11:00:00+05:30,OPEN SHORT,4825.0,1,,
2026-06-09 11:00:00+05:30,CLOSE SHORT,4817.1,1,2.73,5.17
2026-06-09 11:00:00+05:30,OPEN LONG,4817.1,1,,
2026-06-17 12:30:00+05:30,CLOSE LONG,4993.5,1,171.12,5.28
2026-06-17 12:30:00+05:30,OPEN SHORT,4993.5,1,,
2026-06-17 15:15:00+05:30,CLOSE SHORT,5021.0,1,-32.86,5.36
