time,action,price,quantity,net_pnl,charges
2026-07-01 09:20:00+05:30,OPEN SHORT,236.0,4,,
2026-07-02 09:20:00+05:30,CLOSE SHORT,239.15,4,-13.62,1.02
2026-07-02 09:20:00+05:30,OPEN LONG,239.15,4,,
2026-07-06 09:20:00+05:30,CLOSE LONG,233.33,4,-24.29,1.01
2026-07-06 09:20:00+05:30,OPEN SHORT,233.33,4,,
2026-07-09 09:20:00+05:30,CLOSE SHORT,226.63,4,25.81,0.99
2026-07-09 09:20:00+05:30,OPEN LONG,226.63,4,,
2026-07-13 09:20:00+05:30,CLOSE LONG,230.01,4,12.54,0.98
2026-07-13 09:20:00+05:30,OPEN SHORT,230.01,4,,
2026-07-15 09:20:00+05:30,CLOSE SHORT,228.98,4,3.14,0.98
2026-07-15 09:20:00+05:30,OPEN LONG,228.98,4,,
2026-07-17 09:20:00+05:30,CLOSE LONG,225.81,4,-13.65,0.97
2026-07-17 09:20:00+05:30,OPEN SHORT,225.81,4,,
2026-07-21 09:20:00+05:30,CLOSE SHORT,227.19,4,-6.49,0.97
2026-07-21 09:20:00+05:30,OPEN LONG,227.19,4,,
2026-07-22 09:20:00+05:30,CLOSE LONG,223.91,4,-14.09,0.97
2026-07-22 09:20:00+05:30,OPEN SHORT,223.91,4,,
2026-07-23 09:20:00+05:30,CLOSE SHORT,223.33,4,1.36,0.96
2026-07-23 09:20:00+05:30,OPEN LONG,223.33,4,,
2026-07-28 09:20:00+05:30,CLOSE LONG,222.82,4,-3.0,0.96
2026-07-28 09:20:00+05:30,OPEN SHORT,222.82,4,,
2026-07-29 09:20:00+05:30,CLOSE SHORT,224.4,4,-7.28,0.96
2026-07-29 09:20:00+05:30,OPEN LONG,224.4,4,,
2026-07-30 09:20:00+05:30,CLOSE LONG,222.89,4,-7.0,0.96
2026-07-30 09:20:00+05:30,OPEN SHORT,222.89,4,,
2026-08-03 09:20:00+05:30,CLOSE SHORT,227.91,4,-21.04,0.96
2026-08-03 09:20:00+05:30,OPEN LONG,227.91,4,,
2026-08-04 09:20:00+05:30,CLOSE LONG,230.25,4,8.38,0.98
2026-08-04 09:20:00+05:30,OPEN SHORT,230.25,4,,
2026-08-05 09:20:00+05:30,CLOSE SHORT,233.75,4,-14.99,0.99
2026-08-05 09:20:00+05:30,OPEN LONG,233.75,4,,
2026-08-06 09:20:00+05:30,CLOSE LONG,228.94,4,-20.23,0.99
2026-08-06 09:20:00+05:30,OPEN SHORT,228.94,4,,
2026-08-07 09:20:00+05:30,CLOSE SHORT,234.74,4,-24.19,0.99
2026-08-07 09:20:00+05:30,OPEN LONG,234.74,4,,
2026-08-10 09:20:00+05:30,CLOSE LONG,232.02,4,-11.88,1.0
2026-08-10 09:20:00+05:30,OPEN SHORT,232.02,4,,
2026-08-18 09:20:00+05:30,CLOSE SHORT,225.9,4,23.5,0.98
2026-08-18 09:20:00+05:30,OPEN LONG,225.9,4,,
2026-08-28 09:20:00+05:30,CLOSE LONG,215.79,4,-41.38,0.94
2026-08-28 09:20:00+05:30,OPEN SHORT,215.79,4,,
2026-09-01 09:20:00+05:30,CLOSE SHORT,210.61,4,19.8,0.92
2026-09-01 09:20:00+05:30,OPEN LONG,210.61,4,,
2026-09-01 15:10:00+05:30,CLOSE LONG,208.38,4,-9.82,0.9
