time,action,price,quantity,requested_quantity,net_pnl,charges
2026-07-01 09:25:00+05:30,OPEN SHORT,59.05046,16,16.0,,
2026-07-02 09:25:00+05:30,CLOSE SHORT (signal),58.35,16,,10.2,1.01
2026-07-02 09:25:00+05:30,OPEN LONG,58.379175000000004,17,17.0,,
2026-07-03 09:25:00+05:30,CLOSE LONG (signal),57.23,17,,-20.59,1.05
2026-07-03 09:25:00+05:30,OPEN SHORT,57.201384999999995,17,17.0,,
2026-07-09 09:25:00+05:30,CLOSE SHORT (signal),53.52,17,,61.57,1.02
2026-07-09 09:25:00+05:30,OPEN LONG,53.546760000000006,18,18.0,,
2026-07-13 09:25:00+05:30,CLOSE LONG (signal),53.25,18,,-6.37,1.03
2026-07-13 09:25:00+05:30,OPEN SHORT,53.223375,18,18.0,,
2026-07-15 09:25:00+05:30,CLOSE SHORT (signal),52.59,18,,10.38,1.02
2026-07-15 09:25:00+05:30,OPEN LONG,52.616295,19,19.0,,
2026-07-16 09:25:00+05:30,CLOSE LONG (signal),52.29,19,,-7.27,1.07
2026-07-16 09:25:00+05:30,OPEN SHORT,52.263855,19,19.0,,
2026-07-21 09:25:00+05:30,CLOSE SHORT (signal),53.14,19,,-17.72,1.07
2026-07-21 09:25:00+05:30,OPEN LONG,53.16657,18,18.0,,
2026-07-22 09:25:00+05:30,CLOSE LONG (signal),53.09,18,,-2.4,1.02
2026-07-22 09:25:00+05:30,OPEN SHORT,53.063455000000005,18,18.0,,
2026-07-23 09:25:00+05:30,CLOSE SHORT (signal),53.16,18,,-2.76,1.02
2026-07-23 09:25:00+05:30,OPEN LONG,53.18658,18,18.0,,
2026-07-27 09:25:00+05:30,CLOSE LONG (signal),52.4,18,,-15.18,1.02
2026-07-27 09:25:00+05:30,OPEN SHORT,52.373799999999996,19,19.0,,
2026-07-29 09:25:00+05:30,CLOSE SHORT (signal),47.57,19,,90.24,1.03
2026-07-29 09:25:00+05:30,OPEN LONG,47.593785,21,21.0,,
2026-07-30 09:25:00+05:30,CLOSE LONG (signal),46.43,21,,-25.49,1.06
2026-07-30 09:25:00+05:30,OPEN SHORT,46.406785,21,21.0,,
2026-08-03 09:20:00+05:30,CLOSE SHORT (stop_loss),48.751487812125,21,,-50.3,1.07
2026-08-03 09:25:00+05:30,OPEN LONG,48.854414999999996,20,20.0,,
2026-08-06 09:25:00+05:30,CLOSE LONG (signal),48.0,20,,-18.12,1.04
2026-08-06 09:25:00+05:30,OPEN SHORT,47.976,20,20.0,,
2026-08-07 09:25:00+05:30,CLOSE SHORT (signal),48.26,20,,-6.71,1.03
2026-08-07 09:25:00+05:30,OPEN LONG,48.28413,20,20.0,,
2026-08-10 09:25:00+05:30,CLOSE LONG (signal),48.02,20,,-6.31,1.03
2026-08-10 09:25:00+05:30,OPEN SHORT,47.995990000000006,20,20.0,,
2026-08-17 09:25:00+05:30,CLOSE SHORT (signal),47.05,20,,17.9,1.02
2026-08-17 09:25:00+05:30,OPEN LONG,47.073525,21,21.0,,
2026-08-18 09:25:00+05:30,CLOSE LONG (signal),48.52,21,,29.3,1.08
2026-08-18 09:25:00+05:30,OPEN SHORT,48.495740000000005,20,20.0,,
2026-08-20 09:25:00+05:30,CLOSE SHORT (signal),47.22,20,,24.49,1.03
2026-08-20 09:25:00+05:30,OPEN LONG,47.24361,21,21.0,,
2026-08-25 09:25:00+05:30,CLOSE LONG (signal),46.6,21,,-14.57,1.05
2026-08-25 09:25:00+05:30,OPEN SHORT,46.5767,21,21.0,,
2026-08-27 09:25:00+05:30,CLOSE SHORT (signal),47.06,21,,-11.2,1.05
2026-08-27 09:25:00+05:30,OPEN LONG,47.08353,21,21.0,,
2026-08-31 09:25:00+05:30,CLOSE LONG (signal),46.28,21,,-17.92,1.05
2026-08-31 09:25:00+05:30,OPEN SHORT,46.25686,21,21.0,,
2026-09-01 15:10:00+05:30,CLOSE SHORT (eod),46.37,21,,-3.42,1.04
